tick,rank,agent_id,generation,rule,accuracy,tests
500,13,1223,1,"IF energy>-0.00 THEN SAFE [acc=1.00, n=48]",1.0,48
500,14,1253,1,"IF C1>-0.43 AND C2>0.55 AND curiosity<0.68 THEN ENERGY_UP [acc=1.00, n=259]",1.0,259
500,15,1253,1,"IF C1>-0.43 AND C2>0.55 AND curiosity<0.68 THEN ENERGY_UP [acc=1.00, n=37]",1.0,37
600,1,838,1,"IF C14>-0.40 AND C5<-0.64 AND C4>0.49 THEN ENERGY_UP [acc=1.00, n=10]",1.0,10
600,2,957,2,"IF C4>0.19 THEN SAFE [acc=1.00, n=14]",1.0,14
600,3,957,2,"IF C4>0.19 THEN SAFE [acc=1.00, n=14]",1.0,14
600,4,1003,1,"IF C7>-0.19 AND temp_comfort>0.24 THEN SAFE [acc=1.00, n=10]",1.0,10
600,5,1159,2,"IF C3>-0.45 AND C10>0.32 THEN ENERGY_UP [acc=1.00, n=30]",1.0,30
600,6,1338,2,"IF C11>0.17 AND C11<0.54 AND C2<-0.20 AND C0>-0.24 AND C5>-0.66 THEN ENERGY_UP [acc=1.00, n=10]",1.0,10
600,7,1382,1,"IF C1<0.76 AND curiosity>-0.19 AND C1>-0.32 THEN ENERGY_UP [acc=1.00, n=28]",1.0,28
600,8,1783,1,"IF C0>0.27 THEN SAFE [acc=1.00, n=28]",1.0,28
600,9,2048,2,"IF C13<0.70 AND C6<0.31 AND C4>-0.74 AND C1<0.25 AND temp_comfort>0.07 THEN ENERGY_UP [acc=1.00, n=14]",1.0,14
600,10,2182,2,"IF energy>0.01 AND C1<-0.02 AND C2>-0.30 THEN ENERGY_UP [acc=1.00, n=20]",1.0,20
600,11,2203,1,"IF curiosity>-0.23 AND health>-0.18 AND C1<0.39 AND temp_comfort>-0.36 THEN ENERGY_UP [acc=1.00, n=19]",1.0,19
600,12,2350,2,"IF C3<0.66 AND health<0.72 THEN ENERGY_UP [acc=1.00, n=317]",1.0,317
600,13,2428,2,"IF health>-0.46 THEN ENERGY_UP [acc=1.00, n=16]",1.0,16
600,14,2498,2,"IF C9<0.52 AND energy>-0.13 THEN ENERGY_UP [acc=1.00, n=266]",1.0,266
600,15,2552,1,"IF fear>0.15 THEN ENERGY_UP [acc=1.00, n=13]",1.0,13
700,1,2350,2,"IF C3<0.66 AND health<0.72 THEN ENERGY_UP [acc=1.00, n=402]",1.0,402
700,2,2422,3,"IF C1>-0.29 THEN SAFE [acc=1.00, n=16]",1.0,16
700,3,2422,3,"IF C14<0.09 AND C1>-0.29 THEN SAFE [acc=1.00, n=16]",1.0,16
700,4,2428,2,"IF health>-0.46 THEN ENERGY_UP [acc=1.00, n=16]",1.0,16
700,5,4748,1,"IF C0<-0.12 THEN ENERGY_UP [acc=1.00, n=35]",1.0,35
700,6,6647,1,"IF C10>-0.70 AND C1>-0.22 AND hunger>-0.09 AND health>-0.82 THEN ENERGY_UP [acc=1.00, n=28]",1.0,28
700,7,10814,1,"IF C6>0.18 THEN SAFE [acc=1.00, n=13]",1.0,13
700,8,19375,1,"IF C6>0.68 THEN ENERGY_UP [acc=1.00, n=29]",1.0,29
700,9,19375,1,"IF C6>0.68 THEN ENERGY_UP [acc=1.00, n=29]",1.0,29
700,10,46798,2,"IF C3>-0.57 THEN ENERGY_UP [acc=1.00, n=20]",1.0,20
700,11,46798,2,"IF C3>-0.50 AND C9<0.69 THEN ENERGY_UP [acc=1.00, n=20]",1.0,20
700,12,55982,1,"IF C0>-0.46 AND hunger>-0.01 THEN ENERGY_UP [acc=1.00, n=45]",1.0,45
700,13,55982,1,"IF C2<-0.18 THEN ENERGY_UP [acc=1.00, n=34]",1.0,34
700,14,56330,2,"IF C8<-0.45 THEN ENERGY_UP [acc=1.00, n=126]",1.0,126
700,15,57366,1,"IF C8<-0.10 THEN ENERGY_UP [acc=1.00, n=41]",1.0,41
800,1,10814,1,"IF C6>0.10 THEN ENERGY_UP [acc=1.00, n=13]",1.0,13
800,2,77690,2,"IF C1>-0.20 THEN SAFE [acc=1.00, n=27]",1.0,27
800,3,77690,2,"IF C1>-0.40 THEN SAFE [acc=1.00, n=27]",1.0,27
800,4,84015,2,"IF health<0.23 THEN SAFE [acc=1.00, n=18]",1.0,18
800,5,98430,1,"IF C4>-0.65 AND C5<0.30 AND C10>-0.13 AND C3>-0.61 THEN ENERGY_UP [acc=1.00, n=17]",1.0,17
800,6,109820,2,"IF hunger>-0.65 AND C6>-0.52 AND C14>-0.09 THEN SAFE [acc=1.00, n=34]",1.0,34
800,7,110916,3,"IF C8>0.05 AND C9<0.56 AND C4>0.15 AND C10>-0.37 AND C12<-0.50 THEN ENERGY_UP [acc=1.00, n=95]",1.0,95
800,8,113168,2,"IF C11<0.49 THEN SAFE [acc=1.00, n=25]",1.0,25
800,9,113170,2,"IF C2<0.65 AND C11>-0.77 AND C1<0.05 THEN ENERGY_UP [acc=1.00, n=13]",1.0,13
800,10,115820,2,"IF fear<0.72 THEN SAFE [acc=1.00, n=18]",1.0,18
800,11,115820,2,"IF C3<0.63 THEN ENERGY_UP [acc=1.00, n=18]",1.0,18
800,12,117748,3,"IF C4>-0.74 THEN ENERGY_UP [acc=1.00, n=13]",1.0,13
800,13,117755,3,"IF C9>-0.12 AND C4<-0.18 AND C1<0.32 THEN ENERGY_UP [acc=1.00, n=40]",1.0,40
800,14,123555,3,"IF C6<-0.16 THEN ENERGY_UP [acc=1.00, n=43]",1.0,43
800,15,128611,3,"IF C1>0.10 AND C7<0.01 THEN ENERGY_UP [acc=1.00, n=35]",1.0,35
900,1,146335,3,"IF C10>-0.00 AND C3<0.43 THEN SAFE [acc=1.00, n=21]",1.0,21
900,2,157944,3,"IF C3>-0.03 AND C4>-0.68 THEN SAFE [acc=1.00, n=12]",1.0,12
900,3,157944,3,"IF C3>-0.03 AND C4>-0.68 AND C7>-0.42 THEN SAFE [acc=1.00, n=12]",1.0,12
900,4,165354,2,"IF fear>-0.42 AND C3>0.68 AND C4>-0.52 THEN ENERGY_UP [acc=1.00, n=24]",1.0,24
900,5,171328,4,"IF hunger>-0.20 AND C0<0.87 AND C12<0.60 THEN ENERGY_UP [acc=1.00, n=30]",1.0,30
900,6,172631,3,"IF C3<0.13 THEN SAFE [acc=1.00, n=11]",1.0,11
900,7,198487,3,"IF fear>0.18 THEN ENERGY_UP [acc=1.00, n=20]",1.0,20
900,8,198487,3,"IF fear>-0.12 THEN ENERGY_UP [acc=1.00, n=20]",1.0,20
900,9,212138,3,"IF C4>0.47 AND C3>-0.41 THEN SAFE [acc=1.00, n=11]",1.0,11
900,10,212855,4,"IF C9>-0.32 AND C0>-0.76 AND C1>-0.47 AND C9<0.02 THEN SAFE [acc=1.00, n=15]",1.0,15
900,11,212939,3,"IF C8<0.26 THEN SAFE [acc=1.00, n=19]",1.0,19
900,12,99853,2,"IF C11<0.62 AND C8>0.73 AND C8>0.75 THEN ENERGY_UP [acc=0.99, n=156]",0.9935897435897436,156
900,13,86689,2,"IF C9<-0.48 AND C9<-0.46 AND C10<0.72 THEN ENERGY_UP [acc=0.99, n=216]",0.9861111111111112,216
900,14,212825,4,"IF C5>-0.48 THEN SAFE [acc=0.98, n=41]",0.975609756097561,41
900,15,146335,3,"IF C2<0.58 THEN ENERGY_UP [acc=0.96, n=334]",0.9640718562874252,334
1000,1,212980,0,"IF C0<0.31 AND C6<0.14 AND C1<0.77 AND temp_comfort>-0.29 AND energy>-0.18 THEN SAFE [acc=0.83, n=18]",0.8333333333333334,18
1000,2,194580,3,"IF C9>0.13 AND C7>-0.28 AND C13<0.33 THEN SAFE [acc=0.78, n=49]",0.7755102040816326,49
1000,3,212855,4,"IF C0>-0.76 AND C1>-0.47 AND C9<0.02 AND C1<0.15 THEN SAFE [acc=0.64, n=22]",0.6363636363636364,22
1100,1,213117,0,"IF energy>0.15 AND C2<0.62 AND C2>-0.22 THEN SAFE [acc=1.00, n=21]",1.0,21
1100,2,213131,0,"IF C2>-0.18 AND C5>-0.25 THEN SAFE [acc=1.00, n=13]",1.0,13
1100,3,213133,0,"IF energy>-0.36 THEN SAFE [acc=1.00, n=13]",1.0,13
1100,4,213132,0,"IF C5<-0.04 AND fear>0.49 THEN SAFE [acc=0.90, n=10]",0.9,10
1100,5,212672,4,"IF C0<-0.18 THEN ENERGY_UP [acc=0.64, n=42]",0.6428571428571429,42
1200,1,213272,1,"IF C13<0.59 AND C1>-0.18 THEN ENERGY_UP [acc=1.00, n=21]",1.0,21
1200,2,213273,1,"IF curiosity<0.74 THEN SAFE [acc=1.00, n=22]",1.0,22
1200,3,213269,1,"IF health>-0.62 AND C10>-0.64 THEN ENERGY_UP [acc=0.96, n=24]",0.9583333333333334,24
1200,4,213277,1,"IF C1<0.75 AND C14<0.74 THEN ENERGY_UP [acc=0.94, n=18]",0.9444444444444444,18
1200,5,213252,0,"IF C7>-0.78 AND C3>-0.59 AND C0<0.33 THEN SAFE [acc=0.94, n=47]",0.9361702127659575,47
1200,6,213269,1,"IF C8<0.75 THEN ENERGY_UP [acc=0.93, n=14]",0.9285714285714286,14
1200,7,213260,0,"IF C4>0.43 THEN ENERGY_UP [acc=0.91, n=47]",0.9148936170212766,47
1200,8,213263,4,"IF fear>-0.20 THEN ENERGY_UP [acc=0.88, n=42]",0.8809523809523809,42
1200,9,213189,0,"IF C7<0.45 THEN SAFE [acc=0.82, n=89]",0.8202247191011236,89
1200,10,213189,0,"IF curiosity>0.09 AND C9>0.88 AND curiosity>0.37 THEN ENERGY_UP [acc=0.81, n=16]",0.8125,16
1200,11,213260,0,"IF C10<-0.40 AND C11<0.79 AND hunger>-0.74 THEN ENERGY_UP [acc=0.81, n=21]",0.8095238095238095,21
1200,12,213263,4,"IF fear<0.48 AND C8<0.13 AND hunger>0.35 AND curiosity>-0.57 THEN ENERGY_UP [acc=0.80, n=10]",0.8,10
1200,13,213236,0,"IF C7<0.62 AND C15>-0.59 THEN SAFE [acc=0.79, n=14]",0.7857142857142857,14
1200,14,213189,0,"IF curiosity>0.09 AND C9>0.69 AND curiosity>0.37 THEN ENERGY_UP [acc=0.75, n=52]",0.75,52
1200,15,213189,0,"IF C7<0.58 THEN SAFE [acc=0.67, n=39]",0.6666666666666666,39
1300,1,213232,0,"IF C11<-0.76 THEN ENERGY_UP [acc=1.00, n=79]",1.0,79
1300,2,213232,0,"IF C11<-0.59 THEN ENERGY_UP [acc=1.00, n=14]",1.0,14
1300,3,213236,0,"IF C4<0.57 AND C15>-0.59 THEN SAFE [acc=1.00, n=14]",1.0,14
1300,4,213260,0,"IF C4>0.43 THEN ENERGY_UP [acc=1.00, n=47]",1.0,47
1300,5,213263,4,"IF fear>-0.20 THEN ENERGY_UP [acc=1.00, n=42]",1.0,42
1300,6,213263,4,"IF fear>0.01 THEN ENERGY_UP [acc=1.00, n=42]",1.0,42
1300,7,213269,1,"IF C8<0.75 THEN ENERGY_UP [acc=1.00, n=18]",1.0,18
1300,8,213272,1,"IF C13<0.59 AND C1>-0.18 THEN ENERGY_UP [acc=1.00, n=22]",1.0,22
1300,9,213277,1,"IF C1<0.75 AND C14<0.74 THEN ENERGY_UP [acc=1.00, n=18]",1.0,18
1300,10,213277,1,"IF C1<0.96 AND C9<0.92 THEN ENERGY_UP [acc=1.00, n=17]",1.0,17
1300,11,213284,1,"IF hunger>0.19 AND C10>-0.56 THEN ENERGY_UP [acc=1.00, n=16]",1.0,16
1300,12,213293,1,"IF C3>-0.16 THEN ENERGY_UP [acc=1.00, n=41]",1.0,41
1300,13,213311,5,"IF C5<-0.47 AND C3>-0.69 AND hunger<0.39 THEN ENERGY_UP [acc=1.00, n=62]",1.0,62
1300,14,213318,1,"IF C2>0.21 AND temp_comfort>-0.68 AND C7>0.26 THEN ENERGY_UP [acc=1.00, n=49]",1.0,49
1300,15,213319,1,"IF C15<-0.67 THEN ENERGY_UP [acc=1.00, n=56]",1.0,56
